v8-version,5,8,283,38,0
code-creation,Builtin,5,0x1efae6792400,460,"StringLessThan"
code-creation,Builtin,5,0x1efae67925e0,460,"StringLessThanOrEqual"
code-creation,Builtin,5,0x1efae67927c0,464,"StringNotEqual"
code-creation,Builtin,5,0x1efae67929a0,410,"InterpreterEntryTrampoline"
code-creation,Builtin,5,0x1efae6792b40,185,"InterpreterPushArgsAndCall"
code-creation,Builtin,5,0x1efae6792c00,185,"InterpreterPushArgsAndCallFunction"
code-creation,Builtin,5,0x1efae6792cc0,185,"InterpreterPushArgsAndCallWithFinalSpread"
code-creation,Builtin,5,0x1efae6792d80,185,"InterpreterPushArgsAndTailCall"
code-creation,Builtin,5,0x1efae6792e40,185,"InterpreterPushArgsAndTailCallFunction"
code-creation,Builtin,5,0x1efae6792f00,180,"InterpreterPushArgsAndConstruct"
code-creation,Builtin,5,0x1efae6792fc0,189,"InterpreterPushArgsAndConstructFunction"
code-creation,Stub,3,0x1efae6793080,351,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x1efae67931e0,351,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x1efae6793340,319,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x1efae6793480,319,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x1efae67935c0,307,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x1efae6793700,307,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x1efae6793840,511,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x1efae6793a40,479,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x1efae6793c20,487,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x1efae6793e20,439,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x1efae6793fe0,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x1efae67941c0,439,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x1efae6794380,123,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,0x1efae6794400,307,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x1efae6794540,439,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x1efae6794700,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x1efae67948e0,466,"ArrayConstructorStub"
code-creation,Builtin,5,0x1efae6794ac0,188,"InterpreterPushArgsAndConstructArray"
code-creation,Builtin,5,0x1efae6794b80,180,"InterpreterPushArgsAndConstructWithFinalSpread"
code-creation,Builtin,5,0x1efae6794c40,212,"InterpreterEnterBytecodeAdvance"
code-creation,Builtin,5,0x1efae6794d20,147,"InterpreterEnterBytecodeDispatch"
code-creation,Builtin,5,0x1efae6794dc0,172,"InterpreterOnStackReplacement"
code-creation,Builtin,5,0x1efae6794e80,162,"CompileBaseline"
code-creation,Builtin,5,0x1efae6794f40,162,"CompileOptimized"
code-creation,Builtin,5,0x1efae6795000,162,"CompileOptimizedConcurrent"
code-creation,Builtin,5,0x1efae67950c0,190,"InOptimizationQueue"
code-creation,Builtin,5,0x1efae6795180,315,"InstantiateAsmJs"
code-creation,Builtin,5,0x1efae67952c0,206,"MarkCodeAsToBeExecutedOnce"
code-creation,Builtin,5,0x1efae67953a0,206,"MarkCodeAsExecutedOnce"
code-creation,Builtin,5,0x1efae6795480,197,"MarkCodeAsExecutedTwice"
code-creation,Builtin,5,0x1efae6795560,184,"NotifyDeoptimized"
code-creation,Builtin,5,0x1efae6795620,189,"NotifySoftDeoptimized"
code-creation,Builtin,5,0x1efae67956e0,189,"NotifyLazyDeoptimized"
code-creation,Builtin,5,0x1efae67957a0,185,"NotifyStubFailure"
code-creation,Stub,3,0x1efae6795860,565,"CEntryStub"
code-creation,Builtin,5,0x1efae6795aa0,185,"NotifyStubFailureSaveDoubles"
code-creation,Builtin,5,0x1efae6795b60,167,"OnStackReplacement"
code-creation,Builtin,5,0x1efae6795c20,134,"HandleApiCall"
code-creation,Builtin,5,0x1efae6795cc0,134,"HandleApiCallAsFunction"
code-creation,Builtin,5,0x1efae6795d60,134,"HandleApiCallAsConstructor"
code-creation,Builtin,5,0x1efae6795e00,283,"HandleFastApiCall"
code-creation,Builtin,5,0x1efae6795f20,125,"AllocateInNewSpace"
code-creation,Builtin,5,0x1efae6795fa0,132,"AllocateInOldSpace"
code-creation,Stub,3,0x1efae6796040,2254,"RecordWriteStub"
code-creation,Stub,3,0x1efae6796920,2295,"RecordWriteStub"
code-creation,Builtin,5,0x1efae6797220,734,"CopyFastSmiOrObjectElements"
code-creation,Builtin,5,0x1efae6797500,604,"GrowFastDoubleElements"
code-creation,Builtin,5,0x1efae6797760,560,"GrowFastSmiOrObjectElements"
code-creation,Builtin,5,0x1efae67979a0,419,"NewUnmappedArgumentsElements"
code-creation,Builtin,5,0x1efae6797b60,407,"NewRestParameterElements"
code-creation,Builtin,5,0x1efae6797d00,205,"FrameDropperTrampoline"
code-creation,Builtin,5,0x1efae6797de0,152,"HandleDebuggerStatement"
code-creation,Builtin,5,0x1efae6797e80,156,"Return_DebugBreak"
code-creation,Builtin,5,0x1efae6797f20,167,"Slot_DebugBreak"
code-creation,Builtin,5,0x1efae6797fe0,200,"ToBoolean"
code-creation,Stub,3,0x1efae67980c0,1633,"GetPropertyStub"
code-creation,Builtin,5,0x1efae6798740,364,"OrdinaryToPrimitive_Number"
code-creation,Builtin,5,0x1efae67988c0,364,"OrdinaryToPrimitive_String"
code-creation,Builtin,5,0x1efae6798a40,298,"NonPrimitiveToPrimitive_Default"
code-creation,Builtin,5,0x1efae6798b80,298,"NonPrimitiveToPrimitive_Number"
code-creation,Builtin,5,0x1efae6798cc0,298,"NonPrimitiveToPrimitive_String"
code-creation,Builtin,5,0x1efae6798e00,183,"StringToNumber"
code-creation,Stub,3,0x1efae6798ec0,363,"NumberToStringStub"
code-creation,Builtin,5,0x1efae6799040,222,"ToName"
code-creation,Builtin,5,0x1efae6799120,365,"NonNumberToNumber"
code-creation,Builtin,5,0x1efae67992a0,373,"ToNumber"
code-creation,Builtin,5,0x1efae6799420,462,"ToString"
code-creation,Builtin,5,0x1efae6799600,622,"ToInteger"
code-creation,Builtin,5,0x1efae6799880,674,"ToLength"
code-creation,Builtin,5,0x1efae6799b40,228,"ClassOf"
code-creation,Builtin,5,0x1efae6799c40,260,"Typeof"
code-creation,Builtin,5,0x1efae6799d60,175,"GetSuperConstructor"
code-creation,Stub,3,0x1efae6799e20,427,"CallApiGetterStub"
code-creation,Builtin,5,0x1efae6799fe0,863,"LoadICProtoArray"
code-creation,Builtin,5,0x1efae679a340,887,"LoadICProtoArrayThrowIfNonexistent"
code-creation,Builtin,5,0x1efae679a6c0,4533,"KeyedLoadIC_Megamorphic"
code-creation,Builtin,5,0x1efae679b880,136,"KeyedLoadIC_Miss"
code-creation,Builtin,4,0x1efae679b920,136,"KeyedLoadIC_Slow"
code-creation,Builtin,4,0x1efae679b9c0,956,"KeyedLoadIC_IndexedString"
code-creation,Stub,3,0x1efae679bd80,2296,"RecordWriteStub"
code-creation,Stub,3,0x1efae679c680,996,"RecordWriteStub"
code-creation,Stub,3,0x1efae679ca80,2291,"RecordWriteStub"
code-creation,Stub,3,0x1efae679d380,2254,"RecordWriteStub"
code-creation,Stub,3,0x1efae679dc60,1002,"RecordWriteStub"
code-creation,Stub,3,0x1efae679e060,2269,"RecordWriteStub"
code-creation,Stub,3,0x1efae679e940,2254,"RecordWriteStub"
code-creation,Stub,3,0x1efae679f220,1004,"RecordWriteStub"
code-creation,Stub,3,0x1efae679f620,1004,"RecordWriteStub"
code-creation,Stub,3,0x1efae679fa20,2266,"RecordWriteStub"
code-creation,Stub,3,0x1efae67a0300,980,"RecordWriteStub"
code-creation,Stub,3,0x1efae67a06e0,2307,"RecordWriteStub"
code-creation,Stub,3,0x1efae67a1000,2266,"RecordWriteStub"
code-creation,Builtin,5,0x1efae67a18e0,15412,"KeyedStoreIC_Megamorphic"
code-creation,Stub,3,0x1efae67a5520,972,"RecordWriteStub"
code-creation,Stub,3,0x1efae67a5900,2238,"RecordWriteStub"
code-creation,Stub,3,0x1efae67a61c0,1002,"RecordWriteStub"
code-creation,Stub,3,0x1efae67a65c0,980,"RecordWriteStub"
code-creation,Stub,3,0x1efae67a69a0,980,"RecordWriteStub"
code-creation,Builtin,5,0x1efae67a6d80,15684,"KeyedStoreIC_Megamorphic_Strict"
code-creation,Builtin,5,0x1efae67aaae0,140,"KeyedStoreIC_Miss"
code-creation,Builtin,4,0x1efae67aab80,140,"KeyedStoreIC_Slow"
code-creation,Builtin,5,0x1efae67aac20,136,"LoadGlobalIC_Miss"
code-creation,Builtin,4,0x1efae67aacc0,136,"LoadGlobalIC_Slow"
code-creation,Builtin,5,0x1efae67aad60,371,"LoadField"
code-creation,Builtin,4,0x1efae67aaee0,176,"LoadIC_FunctionPrototype"
code-creation,Builtin,5,0x1efae67aafa0,121,"LoadIC_Getter_ForDeopt"
code-creation,Builtin,5,0x1efae67ab020,136,"LoadIC_Miss"
code-creation,Builtin,4,0x1efae67ab0c0,431,"LoadIC_Normal"
code-creation,Builtin,4,0x1efae67ab280,136,"LoadIC_Slow"
code-creation,Builtin,5,0x1efae67ab320,140,"StoreIC_Miss"
code-creation,Stub,3,0x1efae67ab3c0,1386,"RecordWriteStub"
code-creation,Builtin,4,0x1efae67ab940,392,"StoreIC_Normal"
code-creation,Builtin,5,0x1efae67abae0,123,"StoreIC_Setter_ForDeopt"
code-creation,Stub,3,0x1efae67abb60,382,"CEntryStub"
code-creation,Builtin,5,0x1efae67abce0,134,"EmptyFunction"
code-creation,Builtin,5,0x1efae67abd80,134,"Illegal"
code-creation,Builtin,5,0x1efae67abe20,134,"RestrictedFunctionPropertiesThrower"
code-creation,Builtin,5,0x1efae67abec0,134,"RestrictedStrictArgumentsPropertiesThrower"
code-creation,Builtin,5,0x1efae67abf60,134,"UnsupportedThrower"
code-creation,Builtin,5,0x1efae67ac000,124,"ReturnReceiver"
code-creation,Builtin,5,0x1efae67ac080,116,"ArrayCode"
code-creation,Stub,3,0x1efae67ac100,303,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x1efae67ac240,423,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x1efae67ac400,303,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x1efae67ac540,471,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x1efae67ac720,206,"InternalArrayConstructorStub"
code-creation,Builtin,5,0x1efae67ac800,112,"InternalArrayCode"
code-creation,Builtin,5,0x1efae67ac880,134,"ArrayConcat"
code-creation,Builtin,5,0x1efae67ac920,203,"ArrayIsArray"
code-creation,Builtin,5,0x1efae67aca00,1406,"ArrayIncludes"
code-creation,Builtin,5,0x1efae67acf80,1206,"ArrayIndexOf"
code-creation,Builtin,5,0x1efae67ad440,134,"ArrayPop"
code-creation,Builtin,5,0x1efae67ad4e0,134,"ArrayPush"
code-creation,Stub,3,0x1efae67ad580,2326,"RecordWriteStub"
code-creation,Stub,3,0x1efae67adea0,2266,"RecordWriteStub"
code-creation,Builtin,5,0x1efae67ae780,2704,"FastArrayPush"
code-creation,Builtin,5,0x1efae67af220,134,"ArrayShift"
code-creation,Builtin,5,0x1efae67af2c0,134,"ArraySlice"
code-creation,Builtin,5,0x1efae67af360,134,"ArraySplice"
code-creation,Builtin,5,0x1efae67af400,134,"ArrayUnshift"
code-creation,Builtin,5,0x1efae67af4a0,2836,"ArrayForEach"
code-creation,Builtin,5,0x1efae67affc0,658,"ArrayPrototypeEntries"
code-creation,Builtin,5,0x1efae67b0260,510,"ArrayPrototypeKeys"
code-creation,Builtin,5,0x1efae67b0460,658,"ArrayPrototypeValues"
code-creation,Stub,3,0x1efae67b0700,2292,"RecordWriteStub"
code-creation,Builtin,5,0x1efae67b1000,3232,"ArrayIteratorPrototypeNext"
code-creation,Builtin,5,0x1efae67b1ca0,134,"ArrayBufferConstructor"
