v8-version,5,1,281,59,0
code-creation,Stub,15,0x2b515b20f060,224,"BinaryOpICStub(ADD:Smi*Smi->Int32)"
code-creation,Stub,15,0x2b515b20f140,224,"BinaryOpICStub(ADD:Smi*Smi->Smi)"
code-creation,Stub,15,0x2b515b20f220,204,"BinaryOpICStub(BIT_AND:Int32*Int32->Int32)"
code-creation,Stub,15,0x2b515b20f300,204,"BinaryOpICStub(BIT_AND:Int32*Int32->Smi)"
code-creation,Stub,15,0x2b515b20f3e0,204,"BinaryOpICStub(BIT_AND:Int32*Smi->Int32)"
code-creation,Stub,15,0x2b515b20f4c0,204,"BinaryOpICStub(BIT_AND:Int32*Smi->Smi)"
code-creation,Stub,3,0x2b515b20f5a0,184,"DoubleToIStub"
code-creation,Stub,15,0x2b515b20f660,320,"BinaryOpICStub(BIT_AND:Number*Int32->Int32)"
code-creation,Stub,15,0x2b515b20f7a0,320,"BinaryOpICStub(BIT_AND:Number*Smi->Smi)"
code-creation,Stub,15,0x2b515b20f8e0,204,"BinaryOpICStub(BIT_AND:Smi*Int32->Int32)"
code-creation,Stub,15,0x2b515b20f9c0,204,"BinaryOpICStub(BIT_AND:Smi*Int32->Smi)"
code-creation,Stub,15,0x2b515b20faa0,320,"BinaryOpICStub(BIT_AND:Smi*Number->Smi)"
code-creation,Stub,15,0x2b515b20fbe0,204,"BinaryOpICStub(BIT_AND:Smi*Smi->Smi)"
code-creation,Stub,15,0x2b515b20fcc0,204,"BinaryOpICStub(BIT_OR:Int32*Int32->Int32)"
code-creation,Stub,15,0x2b515b20fda0,204,"BinaryOpICStub(BIT_OR:Int32*Int32->Smi)"
code-creation,Stub,15,0x2b515b20fe80,204,"BinaryOpICStub(BIT_OR:Int32*Smi->Int32)"
code-creation,Stub,15,0x2b515b20ff60,204,"BinaryOpICStub(BIT_OR:Int32*Smi->Smi)"
code-creation,Stub,15,0x2b515b210040,320,"BinaryOpICStub(BIT_OR:Number*Smi->Int32)"
code-creation,Stub,15,0x2b515b210180,320,"BinaryOpICStub(BIT_OR:Number*Smi->Smi)"
code-creation,Stub,15,0x2b515b2102c0,204,"BinaryOpICStub(BIT_OR:Smi*Int32->Int32)"
code-creation,Stub,15,0x2b515b2103a0,204,"BinaryOpICStub(BIT_OR:Smi*Int32->Smi)"
code-creation,Stub,15,0x2b515b210480,204,"BinaryOpICStub(BIT_OR:Smi*Smi->Smi)"
code-creation,Stub,15,0x2b515b210560,204,"BinaryOpICStub(BIT_XOR:Int32*Int32->Int32)"
code-creation,Stub,15,0x2b515b210640,204,"BinaryOpICStub(BIT_XOR:Int32*Int32->Smi)"
code-creation,Stub,15,0x2b515b210720,320,"BinaryOpICStub(BIT_XOR:Int32*Number->Smi)"
code-creation,Stub,15,0x2b515b210860,204,"BinaryOpICStub(BIT_XOR:Int32*Smi->Int32)"
code-creation,Stub,15,0x2b515b210940,320,"BinaryOpICStub(BIT_XOR:Number*Int32->Int32)"
code-creation,Stub,15,0x2b515b210a80,320,"BinaryOpICStub(BIT_XOR:Number*Smi->Int32)"
code-creation,Stub,15,0x2b515b210bc0,320,"BinaryOpICStub(BIT_XOR:Number*Smi->Smi)"
code-creation,Stub,15,0x2b515b210d00,204,"BinaryOpICStub(BIT_XOR:Smi*Int32->Int32)"
code-creation,Stub,15,0x2b515b210de0,204,"BinaryOpICStub(BIT_XOR:Smi*Int32->Smi)"
code-creation,Stub,15,0x2b515b210ec0,204,"BinaryOpICStub(BIT_XOR:Smi*Smi->Smi)"
code-creation,Stub,15,0x2b515b210fa0,284,"BinaryOpICStub(DIV:Int32*Int32->Int32)"
code-creation,Stub,15,0x2b515b2110c0,407,"BinaryOpICStub(DIV:Int32*Int32->Number)"
code-creation,Stub,15,0x2b515b211260,431,"BinaryOpICStub(DIV:Int32*Number->Number)"
code-creation,Stub,15,0x2b515b211420,284,"BinaryOpICStub(DIV:Int32*Smi->Int32)"
code-creation,Stub,15,0x2b515b211540,407,"BinaryOpICStub(DIV:Int32*Smi->Number)"
code-creation,Stub,15,0x2b515b2116e0,431,"BinaryOpICStub(DIV:Number*Int32->Number)"
code-creation,Stub,15,0x2b515b2118a0,455,"BinaryOpICStub(DIV:Number*Number->Number)"
code-creation,Stub,15,0x2b515b211a80,431,"BinaryOpICStub(DIV:Number*Smi->Number)"
code-creation,Stub,15,0x2b515b211c40,284,"BinaryOpICStub(DIV:Smi*Int32->Int32)"
code-creation,Stub,15,0x2b515b211d60,407,"BinaryOpICStub(DIV:Smi*Int32->Number)"
code-creation,Stub,15,0x2b515b211f00,431,"BinaryOpICStub(DIV:Smi*Number->Number)"
code-creation,Stub,15,0x2b515b2120c0,407,"BinaryOpICStub(DIV:Smi*Smi->Number)"
code-creation,Stub,15,0x2b515b212260,284,"BinaryOpICStub(DIV:Smi*Smi->Smi)"
code-creation,Stub,15,0x2b515b212380,451,"BinaryOpICStub(MOD:Number*Smi->Number)"
code-creation,Stub,15,0x2b515b212560,276,"BinaryOpICStub(MOD:Smi*Smi->Smi)"
code-creation,Stub,15,0x2b515b212680,244,"BinaryOpICStub(MUL:Int32*Int32->Int32)"
